"symbol","companyname","exchange","ipodate","delisteddate"
"CYPS","Cyclo3pss Corp","NASDAQ","2007-07-16","2022-08-29"
"MBT","Mobile Telesystems PJSC","NYSE","2000-06-30","2022-08-29"
"LN","Line Corporation","NYSE","2016-07-14","2022-08-29"
"BKEPP","Blueknight Energy Partners LP","NASDAQ","2012-03-05","2022-08-29"
"VEDL","Vedanta Ltd","NYSE","2007-06-20","2022-08-29"
"JPNL","DIREXION DAILY MSCI JAPAN BULL 3X SHARES ","NYSE ARCA","2013-06-26","2022-08-29"
"PVG","Pretium Resources Inc","NYSE","2011-03-03","2022-08-29"
"IBBJ","DEFIANCE NASDAQ JUNIOR BIOTECHNOLOGY ETF ","NASDAQ","2020-08-04","2022-08-29"
"CHL","China Mobile Ltd","NYSE","1997-10-22","2022-08-29"
"CEO","Cnooc Ltd","NYSE","2001-02-27","2022-08-29"
"CROC","ProShares UltraShort Australian Dollar","NYSE ARCA","2012-07-19","2022-08-29"
"SBM","ProShares Short Basic Materials","NYSE ARCA","2010-03-18","2022-08-29"
"FPAC-U","Far Point Acquisition Corp - Units (1 Cls A Ord & 1/3 War)","NYSE","2018-06-12","2022-08-29"
"ATC","Atotech Ltd","NYSE","2021-02-04","2022-08-29"
"ARD","Ardagh Group S.A. - Class A","NYSE","2017-03-15","2022-08-29"
"ERUS","iShares MSCI Russia ETF","NYSE ARCA","2010-11-10","2022-08-29"
"BSCL","INVESCO BULLETSHARES 2021 CORPORATE BOND ETF ","NASDAQ","2013-07-17","2022-08-29"
"SUBZ","Roundhill Streaming Services & Technology ETF","NYSE ARCA","2021-02-10","2022-08-29"
"LBJ","DIREXION DAILY LATIN AMERICA BULL 3X SHARES ","NYSE ARCA","2009-12-03","2022-08-29"
"GASX","DIREXION DAILY NATURAL GAS RELATED BEAR 3X SHARES ","NYSE ARCA","2015-12-03","2022-08-29"
"MVP","Roundhill Pro Sports Media & Apparel ETF","NYSE ARCA","2021-03-17","2022-08-29"
"RBAC","RedBall Acquisition Corp - Class A","NYSE","2020-10-05","2022-08-29"
"MBAY","Mediabay Inc","NASDAQ","2017-09-29","2022-08-29"
"CHU","China Unicom (Hong Kong) Ltd","NYSE","2000-06-21","2022-08-29"
"DDG","ProShares Short Oil & Gas","NYSE ARCA","2008-06-18","2022-08-29"
"SPXZ","Morgan Creek - Exos SPAC Originated ETF","NYSE ARCA","2021-01-26","2022-08-29"
"KNL","Knoll Inc","NYSE","2004-12-14","2022-08-29"
"GOAC","GO Acquisition Corp - Class A","NYSE","2020-09-25","2022-08-29"
"HYACU","biote Corp - Units (1 Ord Share Class A & 1/4 War)","NASDAQ","2021-03-02","2022-08-29"
"ALIN-P-A","Altera Infrastructure L.P","NYSE","2014-09-22","2022-08-29"
"TUFN","Tufin Software Technologies Ltd","NYSE","2019-04-11","2022-08-29"
"TPTX","Turning Point Therapeutics Inc","NASDAQ","2019-04-17","2022-08-29"
"RDUS","Radius Health Inc","NASDAQ","2014-06-06","2022-08-26"
"PBIP","Prudential Bancorp Inc","NASDAQ","2005-03-30","2022-08-26"
"MCFE","McAfee Corp - Class A","NASDAQ","2020-10-22","2022-08-26"
"MBII","Pro Farm Group Inc","NASDAQ","2013-08-02","2022-08-26"
"TSC","Tristate Capital Holdings Inc","NASDAQ","2013-05-09","2022-08-26"
"CDK","CDK Global Inc","NASDAQ","2014-09-24","2022-08-26"
"VG","Vonage Holdings Corp","NASDAQ","2006-05-24","2022-08-26"
"JOBS","51Job Inc","NASDAQ","2004-09-29","2022-08-26"
"NTUS","Natus Medical Inc","NASDAQ","2001-07-31","2022-08-26"
"CERN","Cerner Corp","NASDAQ","1990-03-26","2022-08-26"
"EPAY","Bottomline Technologies (Delaware) Inc","NASDAQ","1999-02-12","2022-08-26"
"GTYH","GTY Technology Holdings Inc","NASDAQ","2016-11-18","2022-08-26"
"MIME","Mimecast Ltd","NASDAQ","2015-11-19","2022-08-26"
"MILE","Metromile Inc","NASDAQ","2020-11-09","2022-08-26"
"DISCK","Warner Bros. Discovery Inc - Series C","NASDAQ","2008-09-18","2022-08-26"
"CCMP","CMC Materials Inc","NASDAQ","2000-04-05","2022-08-26"
"ISBC","Investors Bancorp Inc","NASDAQ","2005-10-12","2022-08-26"
"ZNGA","Zynga Inc - Class A","NASDAQ","2011-12-16","2022-08-26"
"XENT","Intersect ENT Inc","NASDAQ","2014-07-24","2022-08-26"
"EPZM","Epizyme Inc","NASDAQ","2013-05-31","2022-08-26"
"ECOL","US Ecology Inc","NASDAQ","1990-03-26","2022-08-26"
"HMHC","Houghton Mifflin Harcourt Company","NASDAQ","2013-11-14","2022-08-26"
"SAFM","Sanderson Farms Inc","NASDAQ","1989-12-20","2022-08-26"
"TVTY","Tivity Health Inc","NASDAQ","1991-08-13","2022-08-26"
"IECS","iShares Evolved U.S. Consumer Staples ETF","BATS","2018-03-23","2022-08-25"
"IEME","iShares Evolved U.S. Media and Entertainment ETF","BATS","2018-03-23","2022-08-25"
"IEIH","iShares Evolved U.S. Innovative Healthcare ETF","BATS","2018-03-23","2022-08-25"
"FST","FAST Acquisition Corp - Class A","NYSE","2020-10-12","2022-08-25"
