"date","label","label_date","label_month","label_year","adjdividend","dividend","recorddate","paymentdate","declarationdate"
"2022-08-05","August 05, 22",5,8,2022,0.23,0.23,"2022-08-08","2022-08-11","2022-07-28"
"2022-05-06","May 06, 22",6,5,2022,0.23,0.23,"2022-05-09","2022-05-12","2022-04-28"
"2022-02-04","February 04, 22",4,2,2022,0.22,0.22,"2022-02-07","2022-02-10","2022-01-27"
"2021-11-05","November 05, 21",5,11,2021,0.22,0.22,"2021-11-08","2021-11-11","2021-10-28"
"2021-08-06","August 06, 21",6,8,2021,0.22,0.22,"2021-08-09","2021-08-12","2021-07-27"
"2021-05-07","May 07, 21",7,5,2021,0.22,0.22,"2021-05-10","2021-05-13","2021-04-28"
"2021-02-05","February 05, 21",5,2,2021,0.205,0.205,"2021-02-08","2021-02-11","2021-01-27"
"2020-11-06","November 06, 20",6,11,2020,0.205,0.205,"2020-11-09","2020-11-12","2020-10-29"
"2020-08-07","August 07, 20",7,8,2020,0.205,0.82,"2020-08-10","2020-08-13","2020-07-30"
"2020-05-08","May 08, 20",8,5,2020,0.205,0.82,"2020-05-11","2020-05-14","2020-04-30"
"2020-02-07","February 07, 20",7,2,2020,0.1925,0.77,"2020-02-10","2020-02-13","2020-01-28"
"2019-11-07","November 07, 19",7,11,2019,0.1925,0.77,"2019-11-10","2019-11-13","2019-10-30"
"2019-08-09","August 09, 19",9,8,2019,0.1925,0.77,"2019-08-12","2019-08-15","2019-07-30"
"2019-05-10","May 10, 19",10,5,2019,0.1925,0.77,"2019-05-13","2019-05-16","2019-05-01"
"2019-02-08","February 08, 19",8,2,2019,0.1825,0.73,"2019-02-11","2019-02-14","2019-01-29"
"2018-11-08","November 08, 18",8,11,2018,0.1825,0.73,"2018-11-11","2018-11-14","2018-11-01"
"2018-08-10","August 10, 18",10,8,2018,0.1825,0.73,"2018-08-13","2018-08-16","2018-07-31"
"2018-05-11","May 11, 18",11,5,2018,0.1825,0.73,"2018-05-14","2018-05-17","2018-05-01"
"2018-02-09","February 09, 18",9,2,2018,0.1575,0.63,"2018-02-12","2018-02-15","2018-02-01"
"2017-11-10","November 10, 17",10,11,2017,0.1575,0.63,"2017-11-13","2017-11-16","2017-11-02"
"2017-08-10","August 10, 17",10,8,2017,0.1575,0.63,"2017-08-13","2017-08-16","2017-08-01"
"2017-05-11","May 11, 17",11,5,2017,0.1575,0.63,"2017-05-14","2017-05-17","2017-05-02"
"2017-02-09","February 09, 17",9,2,2017,0.1425,0.57,"2017-02-12","2017-02-15","2017-02-01"
"2016-11-03","November 03, 16",3,11,2016,0.1425,0.57,"2016-11-06","2016-11-09","2016-10-25"
"2016-08-04","August 04, 16",4,8,2016,0.1425,0.57,"2016-08-07","2016-08-10","2016-07-26"
"2016-05-05","May 05, 16",5,5,2016,0.1425,0.57,"2016-05-08","2016-05-11","2016-04-26"
"2016-02-04","February 04, 16",4,2,2016,0.13,0.52,"2016-02-07","2016-02-10","2016-01-26"
"2015-11-05","November 05, 15",5,11,2015,0.13,0.52,"2015-11-08","2015-11-11","2015-10-27"
"2015-08-06","August 06, 15",6,8,2015,0.13,0.52,"2015-08-09","2015-08-12","2015-07-21"
"2015-05-07","May 07, 15",7,5,2015,0.13,0.52,"2015-05-10","2015-05-13","2015-04-27"
"2015-02-05","February 05, 15",5,2,2015,0.1175,0.47,"2015-02-08","2015-02-11","2015-01-27"
"2014-11-06","November 06, 14",6,11,2014,0.1175,0.47,"2014-11-09","2014-11-12","2014-10-20"
"2014-08-07","August 07, 14",7,8,2014,0.1175,0.47,"2014-08-10","2014-08-13","2014-07-22"
